GeneSymbol_input,STRING_id,GeneSymbol_STRING
Abce1,10116.ENSRNOP00000024753,Abce1
Naa50,10116.ENSRNOP00000056418,Naa50
Uhrf2,10116.ENSRNOP00000015406,Uhrf2
Pus1,10116.ENSRNOP00000053623,Pus1
Pus7,10116.ENSRNOP00000014063,Pus7
Arhgap23,10116.ENSRNOP00000032436,Arhgap23
Tagln2,10116.ENSRNOP00000011208,Tagln2
Pdpn,10116.ENSRNOP00000020316,Pdpn
Acsl4,10116.ENSRNOP00000026057,Acsl4
Hars1,10116.ENSRNOP00000034118,Hars1
Aatk,10116.ENSRNOP00000005839,Aatk
Pwp2,10116.ENSRNOP00000001605,Pwp2
Dusp7,10116.ENSRNOP00000014770,Dusp7
Ptges,10116.ENSRNOP00000044191,Ptges
Tubb3,10116.ENSRNOP00000023452,Tubb3
Cnih1,10116.ENSRNOP00000071661,Cnih1
Tfg,10116.ENSRNOP00000075029,Tfg
Khdrbs1,10116.ENSRNOP00000066894,Khdrbs1
Jak1,10116.ENSRNOP00000061649,Jak1
Psmd8,10116.ENSRNOP00000027937,Psmd8
Emp3,10116.ENSRNOP00000028656,Emp3
Tmem107,10116.ENSRNOP00000008787,Tmem107
Ccdc71l,10116.ENSRNOP00000056755,Ccdc71l
Srm,10116.ENSRNOP00000014934,Srm
Mmrn1,10116.ENSRNOP00000035433,Mmrn1
Psmb1,10116.ENSRNOP00000002037,Psmb1
Xpo1,10116.ENSRNOP00000014062,Xpo1
Sash1,10116.ENSRNOP00000017688,Sash1
Hyou1,10116.ENSRNOP00000039172,Hyou1
Hnrnpc,10116.ENSRNOP00000070427,Hnrnpc
Ran,10116.ENSRNOP00000001247,Ran
Taf1c,10116.ENSRNOP00000020990,Taf1c
Sema3f,10116.ENSRNOP00000071565,Sema3f
Klf7,10116.ENSRNOP00000067389,Klf7
Ipo4,10116.ENSRNOP00000026552,Ipo4
Ext1,10116.ENSRNOP00000031943,Ext1
Ints2,10116.ENSRNOP00000067968,Ints2
Pdlim5,10116.ENSRNOP00000022387,Pdlim5
Nme1,10116.ENSRNOP00000003658,Nme1
Krt81,10116.ENSRNOP00000012845,Krt81
Msantd3,10116.ENSRNOP00000073524,Msantd3
Coro1c,10116.ENSRNOP00000000886,Coro1c
Cfl2,10116.ENSRNOP00000067174,Cfl2
Cdk14,10116.ENSRNOP00000009417,Cdk14
Ube2f,10116.ENSRNOP00000027050,Ube2f
Sertad4,10116.ENSRNOP00000073970,Sertad4
Trpv5,10116.ENSRNOP00000020975,Trpv5
Selenow,10116.ENSRNOP00000069820,Selenow
Fermt3,10116.ENSRNOP00000028737,Fermt3
Panx1,10116.ENSRNOP00000013577,Panx1
Hypk,10116.ENSRNOP00000021091,Hypk
Slc20a1,10116.ENSRNOP00000025294,Slc20a1
Rps18,10116.ENSRNOP00000075857,Rps18
Kras,10116.ENSRNOP00000012588,Kras
Zfp418,10116.ENSRNOP00000020751,Zfp418
Tpm3,10116.ENSRNOP00000035561,Tpm3
Mthfd1l,10116.ENSRNOP00000026564,Mthfd1l
Edn1,10116.ENSRNOP00000019361,Edn1
Qtrt2,10116.ENSRNOP00000072467,Qtrt2
Septin14,10116.ENSRNOP00000060466,Septin14
Adamts3,10116.ENSRNOP00000057209,Adamts3
Sdf2l1,10116.ENSRNOP00000002540,Sdf2l1
Ifnlr1,10116.ENSRNOP00000048303,Ifnlr1
Fas,10116.ENSRNOP00000025928,Fas
Wdr74,10116.ENSRNOP00000070315,Wdr74
Psmb2,10116.ENSRNOP00000015618,Psmb2
Prdm4,10116.ENSRNOP00000006886,Prdm4
Pusl1,10116.ENSRNOP00000074040,Pusl1
Cemip2,10116.ENSRNOP00000070973,Cemip2
Nnat,10116.ENSRNOP00000064325,Nnat
Pdcd11,10116.ENSRNOP00000027512,Pdcd11
Homer3,10116.ENSRNOP00000027428,Homer3
Pik3ap1,10116.ENSRNOP00000017938,Pik3ap1
Dlgap4,10116.ENSRNOP00000034166,Dlgap4
Plpp5,10116.ENSRNOP00000020900,Plpp5
Ier5l,10116.ENSRNOP00000060846,Ier5l
F2r,10116.ENSRNOP00000065624,F2r
Mapk6,10116.ENSRNOP00000013053,Mapk6
Rps11,10116.ENSRNOP00000061250,Rps11
Inf2,10116.ENSRNOP00000018225,Inf2
Ubiad1,10116.ENSRNOP00000012691,Ubiad1
Tm4sf1,10116.ENSRNOP00000021536,Tm4sf1
Csnk2a2,10116.ENSRNOP00000016386,Csnk2a2
Ttpal,10116.ENSRNOP00000012607,Ttpal
Mapkapk2,10116.ENSRNOP00000057786,Mapkapk2
Frmd6,10116.ENSRNOP00000009610,Frmd6
B4galt6,10116.ENSRNOP00000075106,B4galt6
Dph5,10116.ENSRNOP00000018367,Dph5
Ankrd11,10116.ENSRNOP00000035742,Ankrd11
Rnf217,10116.ENSRNOP00000017831,Rnf217
Stx11,10116.ENSRNOP00000073255,Stx11
Mob3a,10116.ENSRNOP00000025634,Mob3a
Rps24,10116.ENSRNOP00000059382,Rps24
Arhgap31,10116.ENSRNOP00000004138,Arhgap31
Tsr1,10116.ENSRNOP00000003992,Tsr1
Layn,10116.ENSRNOP00000050686,Layn
Noc3l,10116.ENSRNOP00000019056,Noc3l
Ranbp1,10116.ENSRNOP00000002579,Ranbp1
Pum3,10116.ENSRNOP00000034834,Pum3
Hmga2,10116.ENSRNOP00000061041,Hmga2
Tbc1d15,10116.ENSRNOP00000058848,Tbc1d15
Hbq1b,10116.ENSRNOP00000037248,Hbq1b
Cygb,10116.ENSRNOP00000016067,Cygb
Csrp1,10116.ENSRNOP00000011991,Csrp1
Ptges3,10116.ENSRNOP00000003787,Ptges3
Nlrp4,10116.ENSRNOP00000046459,Nlrp4
Eif4ebp1,10116.ENSRNOP00000016885,Eif4ebp1
Pelp1,10116.ENSRNOP00000026102,Pelp1
Tlnrd1,10116.ENSRNOP00000016455,Tlnrd1
Surf4,10116.ENSRNOP00000065447,Surf4
Strap,10116.ENSRNOP00000009923,Strap
Slk,10116.ENSRNOP00000015496,Slk
Nod1,10116.ENSRNOP00000014324,Nod1
Prex2,10116.ENSRNOP00000075213,Prex2
Rpl41,10116.ENSRNOP00000062398,Rpl41
Ppib,10116.ENSRNOP00000022828,Ppib
Ebf1,10116.ENSRNOP00000068319,Ebf1
Rps9,10116.ENSRNOP00000074779,Rps9
Plk3,10116.ENSRNOP00000025197,Plk3
Parp14,10116.ENSRNOP00000046194,Parp14
Eno2,10116.ENSRNOP00000005601,Eno2
Rasd1,10116.ENSRNOP00000004475,Rasd1
Syncrip,10116.ENSRNOP00000065252,Syncrip
Rab7b,10116.ENSRNOP00000009280,Rab7b
Tuba1c,10116.ENSRNOP00000068603,Tuba1c
Phf23,10116.ENSRNOP00000024079,Phf23
Exosc6,10116.ENSRNOP00000025179,Exosc6
Cct8,10116.ENSRNOP00000002169,Cct8
Mphosph10,10116.ENSRNOP00000037243,Mphosph10
Snapc1,10116.ENSRNOP00000012361,Snapc1
Trpv2,10116.ENSRNOP00000004248,Trpv2
RT1-CE3,10116.ENSRNOP00000049460,RT1-CE3
Hgh1,10116.ENSRNOP00000047549,Hgh1
Nup35,10116.ENSRNOP00000012628,Nup35
Klf4,10116.ENSRNOP00000022255,Klf4
Calu,10116.ENSRNOP00000008356,Calu
Tomm70,10116.ENSRNOP00000002238,Tomm70
Mmp12,10116.ENSRNOP00000011727,Mmp12
Olfm1,10116.ENSRNOP00000013443,Olfm1
Loxl2,10116.ENSRNOP00000073118,Loxl2
Hnrnpll,10116.ENSRNOP00000009175,Hnrnpll
Tap1,10116.ENSRNOP00000000529,Tap1
Ftsj3,10116.ENSRNOP00000013295,Ftsj3
Gypc,10116.ENSRNOP00000049537,Gypc
Tle3,10116.ENSRNOP00000018467,Tle3
Gmps,10116.ENSRNOP00000072183,Gmps
Ntmt1,10116.ENSRNOP00000035921,Ntmt1
Elavl1,10116.ENSRNOP00000001415,Elavl1
Mllt11,10116.ENSRNOP00000028664,Mllt11
Mcfd2,10116.ENSRNOP00000069872,Mcfd2
Eaf1,10116.ENSRNOP00000026525,Eaf1
Urb1,10116.ENSRNOP00000002851,Urb1
Fnta,10116.ENSRNOP00000019594,Fnta
Hnrnpf,10116.ENSRNOP00000069655,Hnrnpf
Tgm1,10116.ENSRNOP00000027315,Tgm1
Alg12,10116.ENSRNOP00000061731,Alg12
Sytl5,10116.ENSRNOP00000004785,Sytl5
Ruvbl1,10116.ENSRNOP00000075190,Ruvbl1
Chi3l1,10116.ENSRNOP00000074871,Chi3l1
Grb10,10116.ENSRNOP00000070674,Grb10
Pycr1,10116.ENSRNOP00000051832,Pycr1
Rhbdf1,10116.ENSRNOP00000027965,Rhbdf1
Pomp,10116.ENSRNOP00000066877,Pomp
Entr1,10116.ENSRNOP00000058381,Entr1
Pcgf5,10116.ENSRNOP00000074710,Pcgf5
Upf1,10116.ENSRNOP00000075905,Upf1
Sec22b,10116.ENSRNOP00000025327,Sec22b
Nploc4,10116.ENSRNOP00000051856,Nploc4
Nras,10116.ENSRNOP00000036381,Nras
Gbp2,10116.ENSRNOP00000061437,Gbp2
Tbkbp1,10116.ENSRNOP00000012461,Tbkbp1
Frmd4a,10116.ENSRNOP00000044582,Frmd4a
Wars1,10116.ENSRNOP00000006128,Wars1
Adamts9,10116.ENSRNOP00000053878,Adamts9
Crlf2,10116.ENSRNOP00000066370,Crlf2
Bccip,10116.ENSRNOP00000024355,Bccip
Rpl12,10116.ENSRNOP00000021725,Rpl12
Tor1b,10116.ENSRNOP00000062610,Tor1b
Nfe2l2,10116.ENSRNOP00000002114,Nfe2l2
Eme1,10116.ENSRNOP00000029101,Eme1
Lsm2,10116.ENSRNOP00000074699,Lsm2
Ints6,10116.ENSRNOP00000074321,Ints6
Psd3,10116.ENSRNOP00000059423,Psd3
Myo9b,10116.ENSRNOP00000070646,Myo9b
Hbegf,10116.ENSRNOP00000025157,Hbegf
Zfp365,10116.ENSRNOP00000054802,Zfp365
Col12a1,10116.ENSRNOP00000075422,Col12a1
Rpl5,10116.ENSRNOP00000036514,Rpl5
Pphln1,10116.ENSRNOP00000052548,Pphln1
Mrto4,10116.ENSRNOP00000024326,Mrto4
Rpl23,10116.ENSRNOP00000005471,Rpl23
Ncl,10116.ENSRNOP00000024712,Ncl
Armc6,10116.ENSRNOP00000027550,Armc6
Exo5,10116.ENSRNOP00000053484,Exo5
Anxa2,10116.ENSRNOP00000038428,Anxa2
Aebp1,10116.ENSRNOP00000018846,Aebp1
Rgs20,10116.ENSRNOP00000072419,Rgs20
Gak,10116.ENSRNOP00000000064,Gak
Pelo,10116.ENSRNOP00000075562,Pelo
Mob4,10116.ENSRNOP00000020536,Mob4
Mak16,10116.ENSRNOP00000015297,Mak16
Rbm42,10116.ENSRNOP00000029729,Rbm42
Nsmce2,10116.ENSRNOP00000005376,Nsmce2
Exosc3,10116.ENSRNOP00000016582,Exosc3
Sap18,10116.ENSRNOP00000014397,Sap18
Psmd1,10116.ENSRNOP00000024306,Psmd1
Rps17,10116.ENSRNOP00000025888,Rps17
Nfkbid,10116.ENSRNOP00000037384,Nfkbid
Cxcl16,10116.ENSRNOP00000037160,Cxcl16
Mybbp1a,10116.ENSRNOP00000021134,Mybbp1a
Prpf38a,10116.ENSRNOP00000012635,Prpf38a
Psmg2,10116.ENSRNOP00000024126,Psmg2
Mnt,10116.ENSRNOP00000075865,Mnt
Ccnk,10116.ENSRNOP00000053998,Ccnk
Pabpc6,10116.ENSRNOP00000023319,Pabpc6
Siglech,10116.ENSRNOP00000036397,Siglech
Notch1,10116.ENSRNOP00000026212,Notch1
H2bc12,10116.ENSRNOP00000069660,H2bc12
Psmd3,10116.ENSRNOP00000037928,Psmd3
Niban1,10116.ENSRNOP00000003320,Niban1
Adra1d,10116.ENSRNOP00000028877,Adra1d
Sdcbp2,10116.ENSRNOP00000012690,Sdcbp2
Rars1,10116.ENSRNOP00000010252,Rars1
Far1,10116.ENSRNOP00000018532,Far1
Hyal3,10116.ENSRNOP00000021590,Hyal3
Clec4e,10116.ENSRNOP00000073160,Clec4e
Get4,10116.ENSRNOP00000001745,Get4
Trmt6,10116.ENSRNOP00000028893,Trmt6
Polr1b,10116.ENSRNOP00000024882,Polr1b
Rpl21,10116.ENSRNOP00000001265,Rpl21
Eif4e,10116.ENSRNOP00000073799,Eif4e
Lxn,10116.ENSRNOP00000018402,Lxn
Lyn,10116.ENSRNOP00000011130,Lyn
Pom121,10116.ENSRNOP00000001968,Pom121
Hbb-b1,10116.ENSRNOP00000068875,Hbb-b1
Lilrb4,10116.ENSRNOP00000069484,Lilrb4
Acta2,10116.ENSRNOP00000073101,Acta2
Spef1,10116.ENSRNOP00000028861,Spef1
Isg20l2,10116.ENSRNOP00000015471,Isg20l2
Rpf1,10116.ENSRNOP00000021705,Rpf1
Rpl31,10116.ENSRNOP00000031078,Rpl31
Lypd8,10116.ENSRNOP00000034245,Lypd8
Rsl24d1,10116.ENSRNOP00000068858,Rsl24d1
Nrg1,10116.ENSRNOP00000072731,Nrg1
Rnf227,10116.ENSRNOP00000012061,Rnf227
Slc25a24,10116.ENSRNOP00000027765,Slc25a24
Trim36,10116.ENSRNOP00000022294,Trim36
Col4a1,10116.ENSRNOP00000054197,Col4a1
Map1b,10116.ENSRNOP00000023460,Map1b
Rasa2,10116.ENSRNOP00000016327,Rasa2
Rps15a,10116.ENSRNOP00000075906,Rps15a
Lrrfip1,10116.ENSRNOP00000045021,Lrrfip1
C7,10116.ENSRNOP00000074387,C7
Cebpd,10116.ENSRNOP00000064025,Cebpd
Exosc7,10116.ENSRNOP00000069523,Exosc7
Eif3b,10116.ENSRNOP00000057188,Eif3b
Rpl14,10116.ENSRNOP00000073315,Rpl14
Slc35f6,10116.ENSRNOP00000012558,Slc35f6
Jpt2,10116.ENSRNOP00000035954,Jpt2
Gmip,10116.ENSRNOP00000034819,Gmip
Hsf1,10116.ENSRNOP00000047030,Hsf1
Cltb,10116.ENSRNOP00000023651,Cltb
Ctsl,10116.ENSRNOP00000025462,Ctsl
Dnttip2,10116.ENSRNOP00000037874,Dnttip2
Naca,10116.ENSRNOP00000066181,Naca
Rab31,10116.ENSRNOP00000063486,Rab31
Ssh1,10116.ENSRNOP00000039607,Ssh1
Phldb1,10116.ENSRNOP00000069330,Phldb1
Ifrd2,10116.ENSRNOP00000022092,Ifrd2
Dynlrb2,10116.ENSRNOP00000016713,Dynlrb2
Grwd1,10116.ENSRNOP00000053027,Grwd1
Cd14,10116.ENSRNOP00000023977,Cd14
Samd3,10116.ENSRNOP00000058105,Samd3
Zfand2a,10116.ENSRNOP00000043105,Zfand2a
Rpsa,10116.ENSRNOP00000025224,Rpsa
Shroom3,10116.ENSRNOP00000003001,Shroom3
Il6r,10116.ENSRNOP00000028234,Il6r
Trim25,10116.ENSRNOP00000052533,Trim25
Pabpc1,10116.ENSRNOP00000012775,Pabpc1
Umps,10116.ENSRNOP00000002450,Umps
Ifngr2,10116.ENSRNOP00000002779,Ifngr2
Col8a1,10116.ENSRNOP00000057564,Col8a1
Lars1,10116.ENSRNOP00000025284,Lars1
Arpc3,10116.ENSRNOP00000011499,Arpc3
Rras2,10116.ENSRNOP00000017199,Rras2
Cd68,10116.ENSRNOP00000053756,Cd68
Aatf,10116.ENSRNOP00000000258,Aatf
Htr6,10116.ENSRNOP00000070830,Htr6
Pcna,10116.ENSRNOP00000028887,Pcna
Tap2,10116.ENSRNOP00000000527,Tap2
Trim24,10116.ENSRNOP00000050587,Trim24
Rps7,10116.ENSRNOP00000075995,Rps7
Suco,10116.ENSRNOP00000075385,Suco
Kcnab2,10116.ENSRNOP00000073699,Kcnab2
Klhl33,10116.ENSRNOP00000035056,Klhl33
Ankrd22,10116.ENSRNOP00000026093,Ankrd22
Snrpb,10116.ENSRNOP00000039298,Snrpb
Hmx1,10116.ENSRNOP00000012304,Hmx1
Il1rap,10116.ENSRNOP00000051260,Il1rap
Axl,10116.ENSRNOP00000028131,Axl
Ddx52,10116.ENSRNOP00000003600,Ddx52
Nsun2,10116.ENSRNOP00000023641,Nsun2
Rbm8a,10116.ENSRNOP00000028807,Rbm8a
Atic,10116.ENSRNOP00000021105,Atic
Rbms1,10116.ENSRNOP00000011682,Rbms1
Trim47,10116.ENSRNOP00000010887,Trim47
Emc6,10116.ENSRNOP00000026168,Emc6
Cldnd1,10116.ENSRNOP00000002260,Cldnd1
Nol8,10116.ENSRNOP00000067842,Nol8
Dkkl1,10116.ENSRNOP00000028082,Dkkl1
Eri1,10116.ENSRNOP00000015239,Eri1
Hnrnpdl,10116.ENSRNOP00000075589,Hnrnpdl
Tas1r3,10116.ENSRNOP00000026671,Tas1r3
Lamc2,10116.ENSRNOP00000037099,Lamc2
Jmjd6,10116.ENSRNOP00000062806,Jmjd6
Metap1,10116.ENSRNOP00000017579,Metap1
Plcxd2,10116.ENSRNOP00000030345,Plcxd2
Med13l,10116.ENSRNOP00000070275,Med13l
C6,10116.ENSRNOP00000029891,C6
Klhl21,10116.ENSRNOP00000004508,Klhl21
Serpinb1a,10116.ENSRNOP00000056600,Serpinb1a
Nsfl1c,10116.ENSRNOP00000011654,Nsfl1c
Fv1,10116.ENSRNOP00000025846,Fv1
Ccm2,10116.ENSRNOP00000071971,Ccm2
Lama5,10116.ENSRNOP00000074084,Lama5
Cd44,10116.ENSRNOP00000009000,Cd44
Tubb4b,10116.ENSRNOP00000013863,Tubb4b
Nptx2,10116.ENSRNOP00000001331,Nptx2
Pcdhb5,10116.ENSRNOP00000067188,Pcdhb5
Polr3e,10116.ENSRNOP00000046447,Polr3e
Ctsd,10116.ENSRNOP00000027407,Ctsd
Havcr1,10116.ENSRNOP00000009573,Havcr1
Pkn3,10116.ENSRNOP00000043911,Pkn3
Nup153,10116.ENSRNOP00000001979,Nup153
Card10,10116.ENSRNOP00000011215,Card10
Eif4h,10116.ENSRNOP00000043254,Eif4h
Tmcc3,10116.ENSRNOP00000010316,Tmcc3
Bzw2,10116.ENSRNOP00000007414,Bzw2
Mcmbp,10116.ENSRNOP00000027644,Mcmbp
Flna,10116.ENSRNOP00000070703,Flna
Ddx18,10116.ENSRNOP00000038728,Ddx18
Cacna2d4,10116.ENSRNOP00000010746,Cacna2d4
Abhd2,10116.ENSRNOP00000072489,Abhd2
H2ax,10116.ENSRNOP00000056469,H2ax
Marchf7,10116.ENSRNOP00000069062,Marchf7
Mapkapk5,10116.ENSRNOP00000001817,Mapkapk5
Rpl23a,10116.ENSRNOP00000036391,Rpl23a
Mettl6,10116.ENSRNOP00000074466,Mettl6
U2af1,10116.ENSRNOP00000067005,U2af1
Sele,10116.ENSRNOP00000034797,Sele
Hsp90aa1,10116.ENSRNOP00000075715,Hsp90aa1
Adcy4,10116.ENSRNOP00000027719,Adcy4
Eef1b2,10116.ENSRNOP00000036882,Eef1b2
Akirin2,10116.ENSRNOP00000010962,Akirin2
Aimp1,10116.ENSRNOP00000015213,Aimp1
Klf16,10116.ENSRNOP00000051080,Klf16
Nbn,10116.ENSRNOP00000012377,Nbn
Pla2g15,10116.ENSRNOP00000026996,Pla2g15
Ckap4,10116.ENSRNOP00000010601,Ckap4
Apob,10116.ENSRNOP00000039779,Apob
Nle1,10116.ENSRNOP00000011320,Nle1
Atf5,10116.ENSRNOP00000027260,Atf5
Synpo,10116.ENSRNOP00000025934,Synpo
Ddx27,10116.ENSRNOP00000010806,Ddx27
Snrpg,10116.ENSRNOP00000022367,Snrpg
Aldh18a1,10116.ENSRNOP00000020940,Aldh18a1
Hspbp1,10116.ENSRNOP00000024251,Hspbp1
Elf4,10116.ENSRNOP00000051409,Elf4
Il17ra,10116.ENSRNOP00000014885,Il17ra
Tcerg1,10116.ENSRNOP00000025467,Tcerg1
Dtx4,10116.ENSRNOP00000071301,Dtx4
Nr2c2ap,10116.ENSRNOP00000056763,Nr2c2ap
Ptges3l1,10116.ENSRNOP00000068840,Ptges3l1
Npm3,10116.ENSRNOP00000023963,Npm3
Rnps1,10116.ENSRNOP00000047771,Rnps1
Rassf1,10116.ENSRNOP00000030024,Rassf1
Lrfn4,10116.ENSRNOP00000026169,Lrfn4
Wdr5,10116.ENSRNOP00000011556,Wdr5
Prag1,10116.ENSRNOP00000015166,Prag1
Cnot11,10116.ENSRNOP00000035943,Cnot11
Tbl3,10116.ENSRNOP00000018405,Tbl3
Vim,10116.ENSRNOP00000024430,Vim
Oser1,10116.ENSRNOP00000011610,Oser1
Actg1,10116.ENSRNOP00000051859,Actg1
Fgb,10116.ENSRNOP00000009813,Fgb
Frk,10116.ENSRNOP00000000653,Frk
Usp37,10116.ENSRNOP00000033308,Usp37
S100a9,10116.ENSRNOP00000015351,S100a9
Ptbp2,10116.ENSRNOP00000015036,Ptbp2
Efhd2,10116.ENSRNOP00000018864,Efhd2
Nhp2,10116.ENSRNOP00000063697,Nhp2
Morf4l1,10116.ENSRNOP00000075745,Morf4l1
Prmt3,10116.ENSRNOP00000069745,Prmt3
Myh9,10116.ENSRNOP00000007398,Myh9
Utp14a,10116.ENSRNOP00000051553,Utp14a
Snu13,10116.ENSRNOP00000009152,Snu13
Nol6,10116.ENSRNOP00000060015,Nol6
Tram2,10116.ENSRNOP00000017592,Tram2
Psmc4,10116.ENSRNOP00000025819,Psmc4
Fbll1,10116.ENSRNOP00000020554,Fbll1
Mvp,10116.ENSRNOP00000027360,Mvp
Psmd11,10116.ENSRNOP00000070048,Psmd11
Sos2,10116.ENSRNOP00000006425,Sos2
S100a7a,10116.ENSRNOP00000043898,S100a7a
Ccnl1,10116.ENSRNOP00000016016,Ccnl1
Rftn1,10116.ENSRNOP00000015210,Rftn1
Cdk17,10116.ENSRNOP00000005762,Cdk17
Spry2,10116.ENSRNOP00000013342,Spry2
Gp1bb,10116.ENSRNOP00000043041,Gp1bb
Knl1,10116.ENSRNOP00000075477,Knl1
Tinf2,10116.ENSRNOP00000027362,Tinf2
Zfp36l2,10116.ENSRNOP00000006725,Zfp36l2
Cldn1,10116.ENSRNOP00000002640,Cldn1
Psmd6,10116.ENSRNOP00000009249,Psmd6
Apobec3,10116.ENSRNOP00000034183,Apobec3
Pfdn1,10116.ENSRNOP00000025353,Pfdn1
Cotl1,10116.ENSRNOP00000021954,Cotl1
Npdc1,10116.ENSRNOP00000018927,Npdc1
Rplp1,10116.ENSRNOP00000018820,Rplp1
Ppp1ca,10116.ENSRNOP00000025282,Ppp1ca
Pxn,10116.ENSRNOP00000043928,Pxn
Polq,10116.ENSRNOP00000061230,Polq
Ak6,10116.ENSRNOP00000057879,Ak6
Vash1,10116.ENSRNOP00000014017,Vash1
Bzw1,10116.ENSRNOP00000019486,Bzw1
Aven,10116.ENSRNOP00000062695,Aven
Clip2,10116.ENSRNOP00000035734,Clip2
Marcksl1,10116.ENSRNOP00000012663,Marcksl1
Mbd2,10116.ENSRNOP00000016112,Mbd2
Naa25,10116.ENSRNOP00000075085,Naa25
Ddx56,10116.ENSRNOP00000071407,Ddx56
Gpr3,10116.ENSRNOP00000068107,Gpr3
Dusp11,10116.ENSRNOP00000054285,Dusp11
Tmem68,10116.ENSRNOP00000012215,Tmem68
Mapk1ip1l,10116.ENSRNOP00000059047,Mapk1ip1l
Fam110d,10116.ENSRNOP00000022130,Fam110d
Hck,10116.ENSRNOP00000012432,Hck
Hivep2,10116.ENSRNOP00000015131,Hivep2
Drc3,10116.ENSRNOP00000038778,Drc3
Fbl,10116.ENSRNOP00000026021,Fbl
Slamf7,10116.ENSRNOP00000038176,Slamf7
Nop9,10116.ENSRNOP00000027604,Nop9
Pinx1,10116.ENSRNOP00000016027,Pinx1
Rgs16,10116.ENSRNOP00000029844,Rgs16
Clspn,10116.ENSRNOP00000015227,Clspn
Hnrnpa1,10116.ENSRNOP00000052160,Hnrnpa1
Pdlim7,10116.ENSRNOP00000018899,Pdlim7
Mid1,10116.ENSRNOP00000072598,Mid1
Zfyve27,10116.ENSRNOP00000051399,Zfyve27
Xylt1,10116.ENSRNOP00000073845,Xylt1
Sf1,10116.ENSRNOP00000028628,Sf1
Slc8a2,10116.ENSRNOP00000042012,Slc8a2
Rps27a,10116.ENSRNOP00000005872,Rps27a
Rybp,10116.ENSRNOP00000007185,Rybp
Mid2,10116.ENSRNOP00000069903,Mid2
Btf3,10116.ENSRNOP00000022864,Btf3
Clec2d2,10116.ENSRNOP00000035114,Clec2d2
Srsf3,10116.ENSRNOP00000000627,Srsf3
Krt18,10116.ENSRNOP00000067234,Krt18
Zfp57,10116.ENSRNOP00000011704,Zfp57
Lcp2,10116.ENSRNOP00000050879,Lcp2
Emg1,10116.ENSRNOP00000017334,Emg1
Btaf1,10116.ENSRNOP00000024465,Btaf1
Pik3r5,10116.ENSRNOP00000030578,Pik3r5
Leng9,10116.ENSRNOP00000025138,Leng9
Mafg,10116.ENSRNOP00000051853,Mafg
Hmgcr,10116.ENSRNOP00000022055,Hmgcr
Lcn2,10116.ENSRNOP00000018776,Lcn2
Pno1,10116.ENSRNOP00000007824,Pno1
Ikbkb,10116.ENSRNOP00000025851,Ikbkb
Aldh1a2,10116.ENSRNOP00000073203,Aldh1a2
Gpatch4,10116.ENSRNOP00000053762,Gpatch4
Zc3hav1,10116.ENSRNOP00000018782,Zc3hav1
Mef2d,10116.ENSRNOP00000041061,Mef2d
Apex1,10116.ENSRNOP00000068673,Apex1
Wdr45b,10116.ENSRNOP00000073289,Wdr45b
Nup188,10116.ENSRNOP00000032298,Nup188
Rap2a,10116.ENSRNOP00000068867,Rap2a
Wdr62,10116.ENSRNOP00000061740,Wdr62
Rps12,10116.ENSRNOP00000022184,Rps12
Casp3,10116.ENSRNOP00000014096,Casp3
Krt7,10116.ENSRNOP00000075566,Krt7
Srfbp1,10116.ENSRNOP00000020030,Srfbp1
Cep170,10116.ENSRNOP00000072465,Cep170
Gpnmb,10116.ENSRNOP00000011945,Gpnmb
Lysmd2,10116.ENSRNOP00000071697,Lysmd2
Rnf4,10116.ENSRNOP00000074121,Rnf4
Ptpn2,10116.ENSRNOP00000023763,Ptpn2
Kpnb1,10116.ENSRNOP00000012376,Kpnb1
Prdx1,10116.ENSRNOP00000023132,Prdx1
Cd83,10116.ENSRNOP00000024458,Cd83
Tnfrsf26,10116.ENSRNOP00000071406,Tnfrsf26
Dbndd2,10116.ENSRNOP00000019688,Dbndd2
Mettl2,10116.ENSRNOP00000008140,Mettl2
Ascc2,10116.ENSRNOP00000060720,Ascc2
Krt17,10116.ENSRNOP00000005382,Krt17
Zfp367,10116.ENSRNOP00000030325,Zfp367
Bop1,10116.ENSRNOP00000025133,Bop1
Man1b1,10116.ENSRNOP00000016846,Man1b1
Pds5a,10116.ENSRNOP00000003437,Pds5a
Mapre1,10116.ENSRNOP00000016220,Mapre1
Eef1e1,10116.ENSRNOP00000022065,Eef1e1
Cdc42se2,10116.ENSRNOP00000061001,Cdc42se2
Pi4k2b,10116.ENSRNOP00000005349,Pi4k2b
Tbpl1,10116.ENSRNOP00000014805,Tbpl1
Pdcd6ip,10116.ENSRNOP00000012114,Pdcd6ip
Cdca7,10116.ENSRNOP00000002066,Cdca7
Nudc,10116.ENSRNOP00000073414,Nudc
Mrpl24,10116.ENSRNOP00000034042,mrpl24
Dnajb11,10116.ENSRNOP00000002462,Dnajb11
Ccnyl1,10116.ENSRNOP00000047323,Ccnyl1
Eif3c,10116.ENSRNOP00000025782,Eif3c
Scimp,10116.ENSRNOP00000053447,Scimp
Trim27,10116.ENSRNOP00000074750,Trim27
Tex10,10116.ENSRNOP00000011401,Tex10
Rap2c,10116.ENSRNOP00000003414,Rap2c
Trpv6,10116.ENSRNOP00000020616,Trpv6
Vcp,10116.ENSRNOP00000040121,Vcp
Ilf3,10116.ENSRNOP00000073179,Ilf3
Rps2,10116.ENSRNOP00000019508,Rps2
